Date,GOOG,GOOGL,AMZN,MA,BA,C,ABT,CRM,COST,ACN,AVGO,MMM,CVS,FIS,SYK,MDLZ,CI,CME,ISRG,COP
2018-08-21,1201.6199951171875,1217.4100341796875,1883.4200439453125,199.92359924316406,342.1770935058594,64.63417053222656,61.73513412475586,145.52999877929688,216.32571411132812,157.07115173339844,187.47567749023438,184.94216918945312,67.27864837646484,104.13269805908203,162.7109375,39.85293960571289,184.44595336914062,153.67857360839844,529.0499877929688,64.77650451660156
2018-08-22,1207.3299560546875,1221.75,1904.9000244140625,201.1245880126953,338.55963134765625,64.52529907226562,62.612300872802734,146.4600067138672,216.9599151611328,157.366943359375,184.83062744140625,183.65638732910156,67.4794921875,104.78123474121094,163.9193878173828,39.57201385498047,184.75328063964844,153.24696350097656,535.0,65.79078674316406
2018-08-23,1205.3800048828125,1221.1600341796875,1902.9000244140625,202.02040100097656,336.09320068359375,64.24402618408203,62.764835357666016,147.8300018310547,217.24388122558594,157.63412475585938,183.09397888183594,183.52059936523438,67.23297882080078,104.90706634521484,163.7743682861328,39.4128303527832,184.19808959960938,153.96324157714844,537.2100219726562,65.83646392822266
2018-08-24,1220.6500244140625,1236.75,1905.3900146484375,206.13519287109375,337.93096923828125,64.11701965332031,63.022274017333984,152.3000030517578,218.91928100585938,158.282958984375,186.13087463378906,185.81971740722656,67.63471984863281,105.38137817382812,164.33511352539062,39.693748474121094,184.11880493164062,155.47833251953125,541.52001953125,66.34815979003906
2018-08-27,1241.8199462890625,1256.27001953125,1927.6800537109375,208.2320098876953,342.1480712890625,65.67753601074219,63.727813720703125,151.67999267578125,217.73611450195312,159.2276611328125,189.66648864746094,188.5714111328125,68.43814086914062,104.44245147705078,164.81851196289062,39.787391662597656,185.38775634765625,156.6352996826172,545.219970703125,66.5583267211914
2018-08-28,1231.1500244140625,1245.8599853515625,1932.8199462890625,209.3148651123047,339.7009582519531,65.66846466064453,63.680152893066406,152.99000549316406,217.9537811279297,159.99099731445312,190.9667205810547,189.5670623779297,68.40162658691406,104.14237976074219,164.2481231689453,39.562652587890625,186.33949279785156,155.73544311523438,544.9099731445312,65.83646392822266
2018-08-29,1249.300048828125,1264.6500244140625,1998.0999755859375,211.224609375,338.71441650390625,65.80455017089844,64.00430297851562,154.8000030517578,217.8875274658203,161.99481201171875,191.46546936035156,190.49940490722656,67.9725112915039,104.59732818603516,165.582275390625,39.83420944213867,188.81793212890625,158.09532165527344,554.010009765625,67.1979751586914
2018-08-30,1239.1199951171875,1254.43994140625,2002.3800048828125,210.46661376953125,335.5322265625,64.8337631225586,63.89942169189453,152.13999938964844,219.03567504882812,160.90704345703125,192.94381713867188,190.28213500976562,68.04556274414062,104.24885559082031,163.40701293945312,39.740570068359375,188.1636199951172,159.14210510253906,555.1699829101562,67.21624755859375
2018-08-31,1218.18994140625,1231.800048828125,2012.7099609375,212.1991729736328,331.5569152832031,64.63417053222656,63.727813720703125,152.67999267578125,221.21815490722656,161.32688903808594,195.06336975097656,190.915771484375,68.69377899169922,104.70379638671875,163.8033905029297,40.00276565551758,186.71620178222656,160.44606018066406,560.0,67.09745788574219
2018-09-04,1197.0,1211.31005859375,2039.510009765625,213.43951416015625,334.90350341796875,64.77933502197266,63.98524475097656,153.2100067138672,222.68899536132812,161.73721313476562,195.41961669921875,188.81581115722656,67.56166076660156,104.41340637207031,163.00096130371094,39.909122467041016,184.4657745361328,162.57640075683594,556.030029296875,66.8050537109375
